subgraph,label,max(count),min(count),avg(count),stddev_samp(count),"percentile_approx(count, 0.25)","percentile_approx(count, 0.5)","percentile_approx(count, 0.75)"
<http://www.wikidata.org/entity/Q41176>,building,1770,12,61.368351188489704,20.613091619586733,54,56,64
<http://www.wikidata.org/entity/Q17633526>,Wikinews article,925,11,76.09579183596664,22.933969040739598,80,84,85
<http://www.wikidata.org/entity/Q4022>,river,3030,12,72.4687213685997,41.18085469504091,58,64,72
<http://www.wikidata.org/entity/Q7187>,gene,4623,20,102.3321344869896,151.27235317105416,69,76,91
<http://www.wikidata.org/entity/Q61443690>,branch post office,131,35,41.128321838012745,0.7023660180712047,41,41,41
<http://www.wikidata.org/entity/Q23442>,island,4469,12,66.60660084664204,49.26991672841941,52,56,67
<http://www.wikidata.org/entity/Q11173>,chemical compound,18613,14,74.71641673959782,70.19844371239384,45,58,86
<http://www.wikidata.org/entity/Q5084>,hamlet,1667,12,76.54311250423585,29.017890612315146,54,73,90
<http://www.wikidata.org/entity/Q16521>,taxon,3385,11,116.83530063887976,62.231471793060734,80,107,136
<http://www.wikidata.org/entity/Q532>,village,1628,11,96.85951746924532,60.764252309979696,58,86,120
<http://www.wikidata.org/entity/Q13442814>,scholarly article,41847,10,175.20545250630747,183.00813503688244,93,139,187
<http://www.wikidata.org/entity/Q3331189>,"version, edition, or translation",11959,11,68.93553762876735,51.51205162186627,52,68,85
<http://www.wikidata.org/entity/Q13406463>,Wikimedia list article,4090,16,100.8312106184451,26.331885500705443,90,96,105
<http://www.wikidata.org/entity/Q4164871>,position,2194,11,40.00208622509621,34.85001782266149,30,34,40
<http://www.wikidata.org/entity/Q7725634>,literary work,2002,11,61.086585269981796,50.465983326954955,39,50,68
<http://www.wikidata.org/entity/Q59199015>,group of stereoisomers,18613,22,53.18119181801077,87.51290410091437,38,44,50
<http://www.wikidata.org/entity/Q47521>,stream,1365,17,53.37232433643543,14.070668669224668,47,53,54
<http://www.wikidata.org/entity/Q47150325>,calendar day of a given year,253,13,74.36252547975877,17.444396408265703,70,71,72
<http://www.wikidata.org/entity/Q13100073>,village-level division in China,423,37,87.71083661723398,12.137879234730987,81,84,86
<http://www.wikidata.org/entity/Q482994>,album,1072,12,78.81889056696191,46.00477610379063,51,68,92
<http://www.wikidata.org/entity/Q9842>,primary school,440,11,56.63545337371505,20.553955076972798,47,55,60
<http://www.wikidata.org/entity/Q49008>,prime number,1944,18,40.69442702126325,24.736062119378325,39,39,39
<http://www.wikidata.org/entity/Q2668072>,collection,1246,12,65.23522279056154,13.617708989032131,49,73,73
<http://www.wikidata.org/entity/Q11060274>,print,433,16,80.85631405758926,23.734268923234488,64,81,93
<http://www.wikidata.org/entity/Q19389637>,biographical article,499,17,54.536932433230334,23.586880219118502,36,42,80
<http://www.wikidata.org/entity/Q21014462>,cell line,814,32,61.63080565101183,17.880662195524888,53,60,65
<http://www.wikidata.org/entity/Q5>,human,7016,10,102.66656559451232,113.09668267337996,45,71,122
<http://www.wikidata.org/entity/Q11266439>,Wikimedia template,4636,12,135.1869979158772,75.67260746613378,111,111,118
<http://www.wikidata.org/entity/Q101352>,family name,2647,11,399.1473248076935,242.21367940535518,164,573,597
<http://www.wikidata.org/entity/Q30612>,clinical trial,1384,14,77.71900045958458,26.317106139544965,66,74,82
<http://www.wikidata.org/entity/Q18593264>,item of collection or exhibition,391,28,72.8200598375837,9.618267427771805,69,74,80
<http://www.wikidata.org/entity/Q54050>,hill,790,15,52.64889232433159,10.855037326734664,47,52,56
<http://www.wikidata.org/entity/Q6999>,astronomical object,5820,11,136.62181074579868,68.21017248621209,79,132,176
<http://www.wikidata.org/entity/Q355304>,watercourse,716,12,57.74944590485026,12.838893964512273,54,56,60
<http://www.wikidata.org/entity/Q16970>,church building,921,10,79.76290632773303,33.94605116109357,56,76,96
<http://www.wikidata.org/entity/Q27020041>,sports season,1773,12,67.3687880771361,57.143794580600414,39,53,75
<http://www.wikidata.org/entity/Q4167836>,Wikimedia category,2547,11,157.82845264925786,43.631490709141,144,150,162
<http://www.wikidata.org/entity/Q3947>,house,554,16,63.55362087876954,15.551624371099201,52,60,74
<http://www.wikidata.org/entity/Q4830453>,business,6527,10,72.96128118643631,74.37540151516787,44,59,77
<http://www.wikidata.org/entity/Q4167410>,Wikimedia disambiguation page,1122,12,132.42060788618227,54.95313470601481,103,120,178
<http://www.wikidata.org/entity/Q79007>,street,883,11,52.3239581484857,21.597793607779614,35,49,63
<http://www.wikidata.org/entity/Q8054>,protein,5557,19,89.70468842465365,82.66510811128005,41,67,106
<http://www.wikidata.org/entity/Q8502>,mountain,2414,12,63.44245930582085,23.396999750443527,55,59,65
<http://www.wikidata.org/entity/Q3305213>,painting,2019,13,105.09719964465677,36.15320622834686,83,102,123
<http://www.wikidata.org/entity/Q23397>,lake,2059,11,69.84650358385058,31.65877631095476,53,66,77
<http://www.wikidata.org/entity/Q56436498>,village in India,608,21,105.50263683059136,50.60412588432497,61,96,173
<http://www.wikidata.org/entity/Q11424>,film,2895,12,181.60264415781486,171.08369623315576,76,133,222
<http://www.wikidata.org/entity/Q811979>,architectural structure,1786,10,64.22754555198286,22.96298074529625,54,60,75
<http://www.wikidata.org/entity/Q13433827>,encyclopedia article,1479,16,65.19325778749713,25.111262289700818,43,52,89
<http://www.wikidata.org/entity/Q486972>,human settlement,3641,10,70.33656660685023,47.98527876431834,41,64,87
