subgraph,subgraph_code,label,item_count,triple_count,triple_percentage,item_percentage,density,subgraph_rank,item_rank,#predicates,WD2subgraph_count,subgraph2WD_count,direct_percent,wddirect_percent,nwddirect_percent,statements_and_inside_percent
<http://www.wikidata.org/entity/Q13442814>,Q13442814,scholarly article,37362641,6539020889,49.732,39.747,175.01495381442658,1,1,722,1914650,2612344,36.908,12.621,24.287,63.251000000000005
<http://www.wikidata.org/entity/Q5>,Q5,human,9315444,954536943,7.26,9.91,102.46821761796859,3,2,4482,3321990,1234017,33.379,13.314,20.066,60.946000000000005
<http://www.wikidata.org/entity/Q6999>,Q6999,astronomical object,8412914,1136682291,8.645,8.95,135.11160235323928,2,3,578,4326,10639,24.449,10.207,14.242,76.074
<http://www.wikidata.org/entity/Q4167836>,Q4167836,Wikimedia category,4840195,753127982,5.728,5.149,155.5986860033532,4,4,610,501463,492710,87.263,1.195,86.069,5.199
<http://www.wikidata.org/entity/Q16521>,Q16521,taxon,3180248,367926462,2.798,3.383,115.69112283067233,5,5,963,339224,222453,47.343,10.116,37.227,42.971000000000004
<http://www.wikidata.org/entity/Q4167410>,Q4167410,Wikimedia disambiguation page,1359804,180124174,1.37,1.4469999999999998,132.46333589252572,7,6,796,195297,174948,89.218,0.898,88.32,3.833
<http://www.wikidata.org/entity/Q11173>,Q11173,chemical compound,1223387,91228463,0.6940000000000001,1.301,74.5704041321348,10,7,591,187331,43922,48.414,12.694,35.72,50.861
<http://www.wikidata.org/entity/Q7187>,Q7187,gene,1196361,122421508,0.9309999999999999,1.273,102.32823370203477,8,8,218,974213,956960,26.651,14.139,12.512,73.119
<http://www.wikidata.org/entity/Q8054>,Q8054,protein,986599,88483828,0.6729999999999999,1.05,89.68570614809056,11,9,267,1048670,1012630,27.779,14.268,13.512,72.211
<http://www.wikidata.org/entity/Q11266439>,Q11266439,Wikimedia template,845852,114308711,0.8690000000000001,0.9,135.1403212382308,9,10,222,7137,5541,87.842,0.783,87.06,3.202
<http://www.wikidata.org/entity/Q13100073>,Q13100073,village-level division in China,588477,51615572,0.39299999999999996,0.626,87.71043218341583,13,11,77,406403,21301,69.58,6.844,62.736,30.413
<http://www.wikidata.org/entity/Q79007>,Q79007,street,578926,30252119,0.23,0.616,52.255588797186505,20,12,572,75460,39089,38.1,13.86,24.24,59.886
<http://www.wikidata.org/entity/Q486972>,Q486972,human settlement,563958,39590792,0.301,0.6,70.20166750006206,15,13,1120,78933,37192,33.791,10.847,22.945,49.32899999999999
<http://www.wikidata.org/entity/Q3305213>,Q3305213,painting,539468,56769083,0.43200000000000005,0.574,105.23160409885294,12,14,785,23478,90991,36.57,12.108,24.463,63.35
<http://www.wikidata.org/entity/Q8502>,Q8502,mountain,525553,33340188,0.254,0.5589999999999999,63.43829832576353,18,15,709,20279,20571,39.164,11.374,27.79,50.396
<http://www.wikidata.org/entity/Q13433827>,Q13433827,encyclopedia article,512141,33373227,0.254,0.545,65.16413839157576,17,16,164,113215,90060,54.556,9.03,45.526,39.763999999999996
<http://www.wikidata.org/entity/Q2668072>,Q2668072,collection,500968,32670637,0.248,0.5329999999999999,65.21501772568308,19,17,665,3658,2656,27.546,15.241,12.305,72.719
<http://www.wikidata.org/entity/Q101352>,Q101352,family name,481445,187299892,1.4240000000000002,0.512,389.03694503006574,6,18,375,481332,131335,95.092,1.596,93.497,6.62
<http://www.wikidata.org/entity/Q4022>,Q4022,river,399552,28833476,0.21899999999999997,0.425,72.1645142559667,21,19,580,43242,31390,36.334,11.341,24.993,52.153999999999996
<http://www.wikidata.org/entity/Q30612>,Q30612,clinical trial,356838,27731502,0.21100000000000002,0.38,77.71454273367745,22,20,124,482,14511,28.388,16.055,12.333,71.782
<http://www.wikidata.org/entity/Q13406463>,Q13406463,Wikimedia list article,334939,33742245,0.257,0.35600000000000004,100.74146337094216,16,21,880,99265,60228,80.518,2.457,78.061,10.483
<http://www.wikidata.org/entity/Q54050>,Q54050,hill,327277,17228390,0.131,0.348,52.64161551224193,27,22,470,11564,12207,35.748,12.672,23.076,56.778999999999996
<http://www.wikidata.org/entity/Q17633526>,Q17633526,Wikinews article,286950,21830150,0.166,0.305,76.07649416274613,24,23,256,324,1390,76.451,3.685,72.766,16.467
<http://www.wikidata.org/entity/Q532>,Q532,village,274840,26483275,0.201,0.292,96.35888153107264,23,24,818,203375,91491,35.944,9.692,26.252,45.222
<http://www.wikidata.org/entity/Q482994>,Q482994,album,269095,21181015,0.161,0.28600000000000003,78.71203478325499,25,25,638,63065,90024,34.852,12.204,22.649,53.056
<http://www.wikidata.org/entity/Q41176>,Q41176,building,265925,16293008,0.124,0.28300000000000003,61.26918492056031,29,26,1243,20643,54121,29.209,14.219,14.99,68.062
<http://www.wikidata.org/entity/Q11424>,Q11424,film,263070,47176067,0.359,0.28,179.32895046945683,14,27,1029,26404,256312,27.12,14.378,12.742,66.013
<http://www.wikidata.org/entity/Q23397>,Q23397,lake,260135,18053096,0.13699999999999998,0.27699999999999997,69.39895054490937,26,28,602,16537,18479,36.757,11.323,25.434,53.191
<http://www.wikidata.org/entity/Q16970>,Q16970,church building,211291,16821530,0.128,0.225,79.61309284351913,28,29,1036,43903,130706,29.095,14.033,15.063,63.559999999999995
<http://www.wikidata.org/entity/Q3947>,Q3947,house,197736,12468434,0.095,0.21,63.055963506898095,33,30,760,10424,41473,30.443,15.262,15.181,70.67
<http://www.wikidata.org/entity/Q4830453>,Q4830453,business,193858,14101220,0.107,0.20600000000000002,72.73994367010904,31,31,1790,81949,73460,29.303,13.063,16.239,60.485
<http://www.wikidata.org/entity/Q47150325>,Q47150325,calendar day of a given year,189366,14078486,0.107,0.201,74.34537350950012,32,32,56,7044,6515,63.111,6.858,56.253,34.184
<http://www.wikidata.org/entity/Q355304>,Q355304,watercourse,174620,10080421,0.077,0.18600000000000003,57.727757416103536,37,33,302,11105,11378,37.24,12.17,25.071,54.798
<http://www.wikidata.org/entity/Q7725634>,Q7725634,literary work,164860,10049521,0.076,0.175,60.95790974159893,38,34,1093,65104,109257,30.55,13.856,16.694,58.883
<http://www.wikidata.org/entity/Q27020041>,Q27020041,sports season,158877,10693504,0.081,0.16899999999999998,67.30680967037394,36,35,353,19644,28069,27.244,12.118,15.126,53.437
<http://www.wikidata.org/entity/Q3331189>,Q3331189,"version, edition, or translation",157486,10997589,0.084,0.168,69.83216920869157,34,36,1006,84053,117442,30.121,15.413,14.708,69.398
<http://www.wikidata.org/entity/Q9842>,Q9842,primary school,157451,8916373,0.068,0.168,56.62951013331131,43,37,410,4364,15854,30.223,13.998,16.224,68.981
<http://www.wikidata.org/entity/Q19389637>,Q19389637,biographical article,151026,8238397,0.063,0.161,54.54952789585899,44,38,131,101835,95800,33.841,12.766,21.075,57.513000000000005
<http://www.wikidata.org/entity/Q23442>,Q23442,island,148587,9885277,0.075,0.158,66.52854556589743,39,39,829,12830,7082,33.936,11.409,22.527,50.062
<http://www.wikidata.org/entity/Q18593264>,Q18593264,item of collection or exhibition,147402,10732969,0.08199999999999999,0.157,72.81426981994817,35,40,306,547,2890,26.653,16.962,9.692,73.385
<http://www.wikidata.org/entity/Q811979>,Q811979,architectural structure,145957,9666936,0.07400000000000001,0.155,66.23139691827045,41,41,994,7603,27519,19.982,10.068,9.914,52.639
<http://www.wikidata.org/entity/Q56436498>,Q56436498,village in India,145824,15383416,0.11699999999999999,0.155,105.49303269694977,30,42,210,42533,948,30.582,8.346,22.236,64.509
<http://www.wikidata.org/entity/Q61443690>,Q61443690,branch post office,129183,5313033,0.04,0.13699999999999998,41.127958013051256,48,43,22,3,7,29.458,14.595,14.863,70.543
<http://www.wikidata.org/entity/Q21014462>,Q21014462,cell line,128805,7955975,0.061,0.13699999999999998,61.76759442568223,45,44,60,60949,36656,46.812,10.629,36.183,54.604
<http://www.wikidata.org/entity/Q49008>,Q49008,prime number,127545,5188768,0.039,0.136,40.681861303853545,49,45,101,1494,5567,46.802,10.018,36.785,52.400999999999996
<http://www.wikidata.org/entity/Q47521>,Q47521,stream,124853,6654366,0.051,0.133,53.297605984637926,46,46,280,6202,5884,32.638,12.959,19.679,58.116
<http://www.wikidata.org/entity/Q4164871>,Q4164871,position,120117,4720668,0.036000000000000004,0.128,39.30058193261571,50,47,654,150845,62599,45.482,12.721,32.761,52.281
<http://www.wikidata.org/entity/Q11060274>,Q11060274,print,119806,9700063,0.07400000000000001,0.127,80.96475134801263,40,48,269,469,15651,24.608,14.858,9.749,76.962
<http://www.wikidata.org/entity/Q5084>,Q5084,hamlet,118188,9013534,0.069,0.126,76.26437540190207,42,49,423,69989,28420,29.575,10.944,18.631,55.553000000000004
<http://www.wikidata.org/entity/Q59199015>,Q59199015,group of stereoisomers,111599,5843270,0.044000000000000004,0.11900000000000001,52.35951935053182,47,50,216,100827,26703,34.264,15.435,18.829,67.233
