subgraph_count,ua_count
341,8
340,1
336,1
325,1
316,1
315,1
313,1
308,1
307,1
303,1
295,1
294,1
293,1
285,1
278,1
277,1
275,1
271,1
269,3
266,2
263,2
262,1
260,1
257,1
256,1
254,1
251,1
250,1
243,1
242,1
241,1
238,1
237,2
235,1
230,1
227,1
226,3
224,3
221,1
217,1
216,1
215,1
214,1
213,1
212,2
208,1
207,3
206,2
204,1
203,1
201,1
200,1
199,2
194,1
193,3
191,1
189,1
188,1
187,1
186,1
183,1
181,2
180,2
179,1
178,1
177,1
176,2
175,1
174,1
173,1
171,1
170,1
169,1
167,2
166,2
165,1
164,1
163,1
162,1
161,4
159,1
158,2
157,2
156,2
155,1
154,1
153,2
152,1
151,2
150,1
149,1
148,2
146,4
145,1
144,1
143,2
142,2
141,2
140,2
138,3
137,2
136,2
135,2
134,3
133,2
132,5
131,2
130,3
129,5
128,8
127,7
126,7
125,5
124,9
123,8
122,6
121,9
120,7
119,6
118,5
117,1
116,4
115,8
114,2
113,4
112,2
111,3
110,1
108,3
107,3
106,1
105,6
104,3
103,2
102,1
101,3
100,4
99,2
98,5
97,4
96,2
95,9
94,5
93,2
92,2
91,3
90,1
89,3
88,2
87,4
86,4
85,2
84,4
83,5
82,4
81,5
80,3
79,1
78,5
77,2
76,4
75,3
74,3
73,4
72,9
71,5
70,5
69,8
68,5
67,7
66,8
65,9
64,7
63,6
62,6
61,13
60,5
59,4
58,4
57,7
56,9
55,1
54,5
53,7
52,5
51,9
50,12
49,10
48,6
47,15
46,5
45,8
44,11
43,6
42,9
41,8
40,8
39,9
38,9
37,16
36,11
35,16
34,15
33,9
32,12
31,17
30,20
29,25
28,26
27,32
26,28
25,46
24,39
23,39
22,47
21,75
20,119
19,177
18,235
17,242
16,308
15,282
14,202
13,167
12,332
11,184
10,281
9,628
8,463
7,799
6,1539
5,3562
4,460
3,2388
2,91962
1,875724
